page_id,first_edit
0,20081102130201
1,20031020122701
2,20031223095353
3,20031227004500
4,20031020121903
6,20031015105110
9,20040125145626
13,20040126110432
584,20040130024256
585,20040130045204
586,20040130051203
587,20040130051740
588,20040130061337
589,20040130064014
590,20040130064918
591,20040130090751
592,20040130094955
600,20040131054149
601,20040131064415
602,20040131072333
603,20040131072359
605,20040131080700
606,20040131082457
607,20040131090930
608,20040131093045
610,20040131093222
612,20040131100735
613,20040131101953
615,20040131104355
617,20040131105401
618,20040131105552
619,20040131110415
620,20040131112442
621,20040131113453
622,20040131113548
624,20040131113744
625,20040131114735
626,20040131114827
627,20040131115005
628,20040201021441
629,20040201023746
630,20040201044807
631,20040201095037
632,20040201095907
633,20040201114927
634,20040201115302
635,20040201115444
636,20040201115959
638,20040201122840
640,20040201124256
641,20040201124441
642,20040201233126
643,20040202024727
644,20040202033923
645,20040202082516
646,20040202082656
647,20040202083310
648,20040202085014
651,20040202090413
652,20040202122504
654,20040202124451
655,20040203050847
656,20040203065250
657,20040203071932
659,20040203083019
660,20040203084717
661,20040203084820
662,20040203090622
664,20040203194129
666,20040204094826
667,20040204095426
670,20040204100633
671,20040204101433
672,20040204101650
674,20040204102753
675,20040204102908
676,20040204103821
678,20040204105030
679,20040204105425
681,20040205074333
682,20040205081224
683,20040205155311
684,20040205205912
685,20040206123917
687,20040206150550
688,20040206151206
689,20040206171520
690,20040206172018
691,20040207153326
692,20040207153415
693,20040207155054
694,20040207160634
699,20040208101240
700,20040208101414
701,20040208101500
703,20040209085617
704,20040209085749
705,20040209090207
706,20040209151249
707,20040209151722
708,20040209154338
709,20040209155403
710,20040209212006
711,20040214053039
714,20040214054131
715,20040214054234
716,20040214054459
720,20040214055838
721,20040214060804
722,20040214060919
723,20040214061601
724,20040214061655
725,20040220143913
726,20040221132001
727,20040221132458
728,20040221135014
729,20040221135751
730,20040221154350
731,20040221162817
732,20040221165600
733,20040221171329
734,20040221172629
735,20040221180451
736,20040221180757
737,20040221202729
756,20040222050028
758,20040222051146
766,20040222052935
767,20040222121008
769,20040222232517
778,20040223092735
779,20040223092825
780,20040223092955
781,20040223093103
782,20040223093224
783,20040223093442
784,20040223093518
785,20040223093613
786,20040223103022
787,20040223103128
788,20040223103237
790,20040223103418
791,20040223103537
792,20040223103725
793,20040223110109
798,20040223111921
799,20040223114541
800,20040223122128
801,20040223122237
802,20040224072251
803,20040224072418
804,20040224072607
805,20040224085539
806,20040224091056
