page_id,translations_count
1,4
3,46
13,226
584,178
585,67
586,7
587,95
588,202
590,91
591,154
592,212
600,131
601,103
602,86
603,68
605,91
606,128
607,210
608,87
610,187
612,188
613,159
615,183
617,183
618,196
619,2
620,1
621,158
622,184
624,7
625,184
626,194
627,1
628,66
629,209
630,69
631,190
632,1
633,158
634,167
635,13
636,61
638,60
640,189
641,2
643,260
644,52
645,163
646,191
648,176
651,55
652,42
654,128
655,12
656,31
657,183
659,13
660,122
661,127
662,52
666,189
670,1
671,179
672,18
674,184
675,1
676,190
678,181
679,1
681,118
682,96
683,179
684,163
685,3
687,146
688,217
689,2
691,114
692,74
694,185
699,161
700,164
701,7
703,188
704,1
705,185
706,8
707,7
708,38
709,1
710,9
711,191
714,184
715,136
721,189
723,162
724,162
725,69
726,150
727,203
728,94
730,202
731,25
732,73
733,66
734,42
737,203
758,52
766,1
767,195
778,167
779,33
780,100
781,23
782,54
783,49
784,76
785,63
786,57
787,123
788,107
790,69
791,51
792,16
793,137
798,1
799,166
800,189
801,7
803,31
804,54
806,67
807,44
809,25
810,29
811,39
812,15
813,183
814,110
815,145
816,93
817,65
818,20
819,10
820,24
823,76
824,14
827,214
828,125
831,61
832,50
833,85
835,145
836,38
837,37
838,185
840,191
841,182
842,157
843,159
849,162
850,161
851,162
852,160
853,159
854,160
855,158
856,168
857,160
858,160
859,160
860,161
861,162
862,164
863,158
864,161
865,160
866,161
867,159
868,162
869,161
870,157
871,157
872,163
873,160
874,160
875,161
876,158
877,161
878,162
879,159
880,158
881,160
882,164
883,161
884,162
885,164
886,159
887,158
888,164
889,160
890,164
891,162
892,164
893,164
894,165
895,161
896,164
897,163
898,162
899,160
900,165
901,160
902,163
903,165
904,161
905,162
906,163
907,166
908,162
909,164
910,161
911,165
912,162
913,160
914,161
915,159
916,162
917,162
918,160
919,168
920,163
921,162
922,170
923,161
924,168
925,168
926,171
927,165
928,164
929,165
930,168
931,171
932,167
933,168
934,171
935,173
936,184
937,183
938,184
939,183
940,185
941,183
942,186
943,183
944,182
945,186
946,184
947,183
948,183
949,181
950,181
951,182
952,185
953,184
954,185
955,185
956,182
957,189
958,187
959,186
960,187
961,188
962,189
963,190
964,189
965,191
966,193
967,192
968,193
969,191
970,191
971,191
972,187
973,192
974,189
975,190
976,190
977,194
978,192
979,190
980,190
981,193
982,188
983,195
984,189
985,191
986,192
987,188
988,194
989,189
990,190
991,189
992,191
993,189
994,193
995,194
996,191
997,190
998,192
999,192
1000,189
1001,190
1002,193
1003,189
1004,192
1005,189
1006,194
1007,192
1008,195
1009,193
1010,192
1011,199
1012,202
1013,195
1014,200
1015,122
1016,119
1017,121
1018,119
1019,119
1020,120
1021,118
1022,118
1023,118
1024,118
1025,119
1026,153
1027,158
1028,154
1029,154
1030,158
1031,153
1032,151
1033,157
1034,155
1035,158
1036,154
1037,153
1038,150
1039,153
1040,153
1041,152
1042,152
1043,153
1044,153
1045,151
1046,112
1048,139
1049,87
1050,78
1051,44
1052,104
1053,155
1054,147
1055,148
1056,142
1058,142
1059,81
1060,180
1064,4
1065,4
1066,6
1069,176
1070,171
1072,285
1077,275
1079,235
1080,243
1081,244
1082,246
1083,243
1084,247
1085,256
1086,277
1087,257
1088,276
1089,139
1090,78
1092,58
1093,108
1094,40
1096,93
1097,39
1098,80
1099,84
1100,84
1101,38
1102,141
1103,61
1104,49
1105,148
1106,4
1107,42
1108,40
1109,76
1110,20
1111,94
1112,59
1113,178
1114,154
1115,7
1116,157
1117,145
1118,140
1119,141
1120,147
1121,145
1122,150
1123,149
1124,142
1125,145
1126,144
1127,145
1128,142
1129,144
1130,141
1131,143
1132,142
1133,151
1134,141
1135,142
1136,143
1137,143
1138,146
1139,148
1140,143
1141,144
1142,141
1143,145
1144,148
1145,140
1146,142
1147,146
1148,141
1149,147
1150,142
1151,145
1152,141
1153,144
1154,142
1155,145
1156,140
1157,149
1158,141
1159,151
1160,148
1161,150
1162,142
1163,145
1164,140
1165,142
1166,139
1167,146
1168,137
1169,140
1170,137
1171,139
1172,138
1173,141
1174,142
1175,140
1176,139
1177,145
1178,141
1179,139
1180,139
1181,142
1182,143
1183,141
1184,144
1185,139
1186,146
1187,140
1188,137
1189,142
1190,142
1191,140
1192,140
1193,141
1194,141
1195,141
1196,139
1197,141
1198,138
1199,137
1200,142
1201,140
1202,145
1203,137
1204,139
1205,140
1206,141
1207,142
1208,143
1209,141
1210,140
1211,145
1212,141
1213,142
1214,141
1215,141
1216,143
1217,147
1218,150
1219,150
1220,149
1221,148
1222,149
1223,147
1224,152
1225,149
1226,149
1227,149
1228,151
1229,149
1230,148
1231,146
1232,150
1233,150
1234,146
1235,147
1236,147
1237,147
1238,148
1239,150
1240,149
1241,151
1242,152
1243,148
1244,152
1245,150
1246,146
1247,146
1248,145
1249,149
1250,146
1251,146
1252,149
1253,151
1254,149
1255,148
1256,148
1257,150
1258,151
1259,147
1260,151
1261,147
1262,148
1263,152
1264,148
1265,149
1266,150
1267,154
1268,151
1269,148
1270,150
1271,149
1272,153
1273,157
1274,149
1275,155
1276,154
1277,153
1278,150
1279,151
1280,150
1281,150
1282,151
1283,149
1284,150
1285,152
1286,151
1287,154
1288,149
1289,151
1290,150
1291,152
1292,154
1293,157
1294,150
1295,155
1296,80
1297,190
1299,172
1300,170
1301,170
1302,174
1303,172
1304,170
1305,172
1306,170
