from_id,links_count
1,18
2,1
3,297
4,69
6,1
9,1
13,204
584,372
585,29
586,124
587,14
588,419
589,21
590,26
591,198
592,389
600,67
601,181
602,28
603,319
605,26
606,88
607,216
608,26
610,258
612,286
613,85
615,173
617,200
618,111
619,63
620,47
621,90
622,192
624,332
625,224
626,167
627,39
628,250
629,403
630,115
631,207
632,25
633,78
634,86
635,109
636,353
638,424
640,147
641,50
643,2109
644,40
645,105
646,185
647,1
648,209
651,158
652,203
654,71
655,64
656,33
657,953
659,207
660,91
661,120
662,653
664,37
666,328
667,33
670,36
671,130
672,36
674,195
675,46
676,197
678,151
679,36
681,27
682,24
683,133
684,95
685,208
687,176
688,258
689,38
690,743
691,221
692,119
693,1
694,383
699,72
700,84
701,212
703,334
704,36
705,154
706,190
707,87
708,350
709,52
710,549
711,374
714,147
715,468
716,1
720,55
721,167
722,54
723,66
724,84
725,64
726,490
727,500
728,115
729,1
730,420
731,16
732,745
733,737
734,280
735,1
736,1
737,374
756,1
758,33
766,74
767,790
769,38
778,224
779,39
780,93
781,48
782,87
783,21
784,46
785,46
786,8
787,306
788,59
790,246
791,82
792,42
793,294
798,20
799,117
800,155
801,141
802,1
803,8
804,56
805,117
806,107
807,62
809,7
810,8
811,92
812,29
813,2069
814,495
815,115
816,53
817,315
818,16
819,10
820,93
822,1
823,23
824,6
827,375
828,306
830,2
831,124
832,180
833,199
834,5
835,139
836,870
837,3066
838,181
840,263
841,212
842,85
843,75
849,55
850,78
851,52
852,58
853,59
854,52
855,62
856,71
857,67
858,80
859,60
860,72
861,31
862,83
863,56
864,65
865,64
866,90
867,108
868,60
869,78
870,71
871,87
872,69
873,49
874,60
875,56
876,72
877,73
878,76
879,74
880,44
881,64
882,62
883,114
884,83
885,110
886,69
887,58
888,78
889,75
890,72
891,69
892,72
893,79
894,67
895,58
896,59
897,84
898,68
899,86
900,84
901,69
902,106
903,95
904,88
905,113
906,89
907,92
908,83
909,75
910,112
911,66
912,99
913,106
914,112
915,82
916,108
917,90
918,87
919,108
920,136
921,95
922,57
923,70
924,112
925,109
926,97
927,116
928,142
929,82
930,146
931,114
932,113
933,114
934,126
935,105
936,159
937,136
938,151
939,159
940,159
941,159
942,145
943,167
944,150
945,229
946,186
947,189
948,200
949,213
950,176
951,189
952,184
953,194
954,207
955,205
956,190
957,287
958,216
959,197
960,219
961,229
962,257
963,286
964,207
965,271
966,278
967,255
968,303
969,220
970,239
971,215
972,193
973,207
974,218
975,227
976,159
977,215
978,215
979,215
980,220
981,202
982,196
983,171
984,190
985,201
986,214
987,129
988,189
989,210
990,155
991,186
992,151
993,132
994,155
995,192
996,123
997,121
998,123
999,137
1000,106
1001,104
1002,106
1003,307
1004,140
1005,144
1006,93
1007,303
1008,399
1009,104
1010,100
1011,272
1012,190
1013,120
1014,124
1015,62
1016,64
1017,45
1018,46
1019,42
1020,48
1021,47
1022,48
1023,44
1024,171
1025,50
1026,58
1027,56
1028,63
1029,60
1030,55
1031,66
1032,81
1033,69
1034,64
1035,79
1036,69
1037,69
1038,45
1039,80
1040,54
1041,91
1042,56
1043,70
1044,52
1045,48
1046,218
1048,210
1049,131
1050,257
1051,369
1052,419
1053,716
1054,558
1055,381
1056,436
1057,1
1058,181
1059,38
1060,542
1063,1
1064,264
1065,128
1066,145
1069,491
1070,525
1072,1117
1073,1
1077,1038
1078,1
1079,547
1080,623
1081,629
1082,840
1083,1402
1084,645
1085,548
1086,892
1087,1421
1088,992
1089,1268
1090,338
1091,1
1092,183
1093,277
1094,300
1095,1
1096,113
1097,29
1098,7
1099,9
1100,22
1101,10
1102,458
1103,19
1104,15
1105,99
1106,5
1107,5
1108,14
1109,283
1110,64
1111,172
1112,34
1113,294
1114,141
1115,114
1116,66
1117,106
1118,111
1119,99
1120,100
1121,95
1122,109
1123,103
1124,93
1125,102
1126,118
1127,120
1128,110
1129,105
1130,111
1131,103
1132,102
1133,115
1134,100
1135,114
1136,110
1137,119
1138,106
1139,121
1140,104
1141,98
1142,113
1143,123
1144,106
1145,113
1146,121
1147,114
1148,94
1149,122
1150,117
1151,90
1152,102
1153,98
1154,112
1155,116
1156,94
1157,110
1158,108
1159,127
1160,114
1161,103
1162,100
1163,123
1164,94
1165,129
1166,116
1167,103
1168,129
1169,109
1170,111
1171,109
1172,135
1173,112
1174,127
1175,115
1176,120
1177,111
1178,109
1179,99
1180,114
1181,118
1182,123
1183,119
1184,111
1185,109
1186,108
1187,103
1188,106
1189,120
1190,103
1191,96
1192,106
1193,116
1194,106
1195,117
1196,92
1197,113
1198,103
1199,136
1200,112
1201,115
1202,121
1203,101
1204,105
1205,112
1206,125
1207,113
1208,96
1209,93
1210,102
1211,101
1212,60
1213,52
1214,52
1215,55
1216,65
1217,65
1218,81
1219,76
1220,94
1221,85
1222,85
1223,78
1224,102
1225,93
1226,106
1227,83
1228,63
1229,55
1230,68
1231,53
1232,44
1233,42
1234,106
